"","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","adm2","associatedSequences","basisOfRecord","canonicalName","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","combinationAuthors","combinationYear","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","degreeOfEstablishment","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","eventType","family","familyKey","fieldNotes","fieldNumber","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","higherGeographyID","hostingOrganizationKey","http://unknown.org/captive_cultivated","http://unknown.org/nick","http://unknown.org/verbatimLabel","identificationID","identificationQualifier","identificationRemarks","identifiedBy","identifier","individualCount","infraspecificEpithet","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","isSequenced","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","materialEntityID","modified","month","municipality","nameAccordingTo","namePublishedInYear","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","organismQuantity","organismQuantityType","organismRemarks","organismScope","otherCatalogNumbers","ownerInstitutionCode","parentEventID","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rightsHolder","sampleSizeUnit","samplingEffort","samplingProtocol","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimIdentification","verbatimLocality","verbatimScientificName","verbatimSRS","verbatimTaxonRank","vernacularName","vitality","year","downloadDate"
"1","Heteromys australis Thomas, 1901",2439568,NA,"Risaralda",NA,NA,"HUMAN_OBSERVATION",NA,"190562821","Mammalia",359,"Risaralda, Colombia, SOUTH_AMERICA","Observations",NA,NA,NA,NA,"SOUTH_AMERICA",NA,2017,"Colombia",528,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-11-10T09:20:09",16,NA,NA,NA,NA,NA,228,NA,"2023-08-16",NA,NA,NA,NA,"Heteromyidae",5504,NA,NA,NA,"Colombia","4440740606","LATIN_AMERICA","Heteromys","Heteromys",2439567,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","vnsankar",NA,"425656927",NA,NA,"Venkat Sankar","190562821",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"CO",FALSE,"LC",4440740606,"Animalia",1,NA,"2025-04-02T15:54:54.054+00:00","2025-04-04T20:33:22.063+00:00","2025-04-04T20:33:22.063+00:00",4.71403,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-75.557014,NA,"2023-11-12T14:06:55.000+00:00",8,NA,NA,NA,NA,"https://www.inaturalist.org/observations/190562821",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata",44,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Venkat Sankar",NA,"https://www.inaturalist.org/observations/190562821",NA,"Venkat Sankar",NA,NA,NA,"Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",228,NA,"44138",2439568,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2023/08/16",NA,"Pereira, Risaralda, Colombia",NA,NA,NA,NA,NA,2023,2025-04-14
"2","Heteromys australis Thomas, 1901",2439568,NA,"Esmeraldas",NA,NA,"HUMAN_OBSERVATION",NA,"229838452","Mammalia",359,"Esmeraldas, Ecuador, SOUTH_AMERICA","Observations",NA,NA,NA,NA,"SOUTH_AMERICA",NA,NA,"Ecuador",528,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-07-18T02:40:38",2,NA,NA,NA,NA,NA,306,NA,"2023-11-02T21:49",NA,NA,"21:49:00-05:00",NA,"Heteromyidae",5504,NA,NA,NA,"Ecuador","4909191992","LATIN_AMERICA","Heteromys","Heteromys",2439567,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","moirawiedebusch",NA,"515831346",NA,"en el 2021 yo estuve colectando ratones en esta zona, estoy seguro de que eso que se ve en la foto es Heteromys australis https://bioweb.bio/faunaweb/mammaliaweb/FichaEspecie/Heteromys%20australis","Marco A Rodríguez Segovia","229838452",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"EC",FALSE,"LC",4909191992,"Animalia",1,NA,"2025-04-02T15:54:54.054+00:00","2025-04-05T02:13:26.713+00:00","2025-04-05T02:13:26.713+00:00",0.525473,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-79.205666,NA,"2024-07-18T04:09:07.000+00:00",11,NA,NA,NA,NA,"https://www.inaturalist.org/observations/229838452",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata",44,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Moira Wiedebusch",NA,"https://www.inaturalist.org/observations/229838452",NA,"Moira Wiedebusch",NA,NA,NA,"Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",306,NA,"44138",2439568,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2023/11/02 9:49 PM",NA,"Eloy Alfaro, Ecuador",NA,NA,NA,NA,NA,2023,2025-04-14
"3","Heteromys australis Thomas, 1901",2439568,"CC BY NC 4.0","Imbabura",NA,NA,"PRESERVED_SPECIMEN",NA,"837","Mammalia",359,"Parroquia Lita-sector El Carmen, Imbabura, Ecuador, SOUTH_AMERICA","MUTPL-M","bd16a6f3-41ac-47db-861d-21cda2feac8c","bd16a6f3-41ac-47db-861d-21cda2feac8c",NA,NA,"SOUTH_AMERICA",NA,NA,"Ecuador",110,"doi:10.60545/6mn5v1","f57dd6be-0b78-42c4-9758-d4e4960a3b8c","Colección mamíferos MUTPL",NA,27,NA,"En colección",NA,1720,0,331,NA,"2023-11-27",NA,NA,NA,NA,"Heteromyidae",5504,NA,NA,NA,"Ecuador","5082839509","LATIN_AMERICA","Heteromys","Heteromys",2439567,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c54097e6-0972-4acb-b849-eaeba29c917d",NA,NA,NA,NA,NA,NA,"Jordán-Sánchez, Yoshamara","MUTPL:M:837",NA,NA,"9df8109c-684d-416b-819b-7bc09adc500b","MUTPL","7d014689-22c7-497b-9201-21088c802c31","7d014689-22c7-497b-9201-21088c802c31",FALSE,"EC",FALSE,"LC",5082839509,"Animalia",1,"en|es","2025-03-13T19:31:51.486+00:00","2025-03-13T19:32:04.300+00:00","2025-03-13T19:32:04.300+00:00",0.7619,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Parroquia Lita-sector El Carmen",NA,NA,NA,-78.35229,NA,NA,11,NA,NA,NA,"ICZN","MUTPL:M:837",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,NA,NA,"MUTPL",NA,NA,"Chordata",44,NA,NA,NA,"EML","LATIN_AMERICA","EC","9fff025a-f223-4b26-8ee1-2266b219934f","Jordán-Sánchez, Yoshamara|Bravo, Ronald",NA,NA,NA,"Universidad Tecnica Particular de Loja",NA,NA,NA,"Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",331,NA,NA,2439568,"ACCEPTED","SPECIES","PhysicalObject",NA,NA,NA,"1720",NA,NA,NA,NA,NA,NA,NA,NA,2023,2025-04-14
"4","Heteromys australis Thomas, 1901",2439568,NA,"Carchi",NA,NA,"HUMAN_OBSERVATION",NA,"72507938","Mammalia",359,"Carchi, Ecuador, SOUTH_AMERICA","Observations",NA,NA,NA,NA,"SOUTH_AMERICA",NA,NA,"Ecuador",528,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2021-05-09T01:33:02",30,NA,NA,NA,NA,NA,89,NA,"2021-03-30T11:24:33",NA,NA,"11:24:33-05:00",NA,"Heteromyidae",5504,NA,NA,NA,"Ecuador","3124502387","LATIN_AMERICA","Heteromys","Heteromys",2439567,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","jhandry",NA,"173120941",NA,NA,"rocio_vargas","72507938",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"EC",FALSE,"LC",3124502387,"Animalia",1,NA,"2025-04-02T15:54:54.054+00:00","2025-04-04T18:29:55.067+00:00","2025-04-04T18:29:55.067+00:00",0.957614,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Juvenile",NA,NA,NA,NA,-78.197102,NA,"2022-12-20T20:18:50.000+00:00",3,NA,NA,NA,NA,"https://www.inaturalist.org/observations/72507938",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata",44,NA,NA,NA,"DWC_ARCHIVE","LATIN_AMERICA","EC","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jhandry Guaya",NA,"https://www.inaturalist.org/observations/72507938",NA,"Jhandry Guaya",NA,NA,NA,"Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",89,NA,"44138",2439568,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2021-03-30 11:24:33 AM GMT-05:00",NA,"El Chical, Ecuador",NA,NA,NA,NA,"alive",2021,2025-04-14
"5","Heteromys australis Thomas, 1901",2439568,"Sólo para uso no comercial","Risaralda","Guática",NA,"PRESERVED_SPECIMEN",NA,"EAFIT-M 1969","Mammalia",359,"Unidad Productiva, La Teresita, Cartama SAS, Risaralda, Guática, Colombia, SOUTH_AMERICA","EAFIT","https://scientific-collections.gbif.org/collection/bf2fdc2f-8ab1-4b41-8392-dc547291ff12","bf2fdc2f-8ab1-4b41-8392-dc547291ff12",NA,NA,"SOUTH_AMERICA",NA,NA,"Colombia",131,NA,"8833ca14-d2a7-4516-8295-9617f15950f1","Cartama SAS",NA,20,NA,"En colección",NA,2078,NA,51,NA,"2020-02-20",NA,NA,NA,"Muestra","Heteromyidae",5504,NA,NA,NA,"Colombia","3890564519","LATIN_AMERICA","Heteromys","Heteromys",2439567,NA,"Juan Manuel Martínez Cerón (JMC)",NA,NA,"Las coordenadas decimalCoordinates: 5.362423975, -75.74669603 no coinciden con la ubicación",NA,NA,"Bosque - Borde Quebrada","Animalia | Chordata | Mammalia | Rodentia","América|Sudamérica|Colombia|Risaralda|Guática","TGN:1000741","c4f66525-4d36-4c18-82ac-98e088f54db4",NA,NA,NA,NA,NA,NA,"Juan Manuel Martínez-Cerón (JMC)","EAFIT:EAFIT-M_1969",1,NA,"68845aab-a453-4816-b36d-a3ec8455deb0","Universidad EAFIT (EAFIT)","890.901.389 – 5","e12cc193-0020-4ca3-aa8b-824e8feb24a0",FALSE,"CO",FALSE,"LC",3890564519,"Animalia",1,"es","2025-03-27T08:11:25.103+00:00","2025-03-27T08:11:46.416+00:00","2025-03-27T08:11:46.416+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Unidad Productiva, La Teresita, Cartama SAS",NA,"CO:27075",NA,NA,NA,"2024-01-01T00:00:00.000+00:00",2,"Vereda Barroblanco",NA,NA,NA,"EAFIT:EAFIT-M_1969",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,"Organismo multicelular",NA,NA,NA,NA,"Chordata",44,"Cráneo|Cuerpo en líquido (ETOH 75%)",NA,"EAFIT","EML","LATIN_AMERICA","CO","57c6cd7f-e50f-441e-849a-3d2e1912cb92","Juan Manuel Martínez-Cerón (JMC)","JMC0508",NA,NA,"Universidad EAFIT",NA,NA,"Transecto trampa victor/sherman","Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",51,NA,NA,2439568,"ACCEPTED","SPECIES","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,2025-04-14
"6","Heteromys australis Thomas, 1901",2439568,"Sólo para uso no comercial","Risaralda","Guática",NA,"PRESERVED_SPECIMEN",NA,"EAFIT-M 1970","Mammalia",359,"Unidad Productiva, La Teresita, Cartama SAS, Risaralda, Guática, Colombia, SOUTH_AMERICA","EAFIT","https://scientific-collections.gbif.org/collection/bf2fdc2f-8ab1-4b41-8392-dc547291ff12","bf2fdc2f-8ab1-4b41-8392-dc547291ff12",NA,NA,"SOUTH_AMERICA",NA,NA,"Colombia",131,NA,"8833ca14-d2a7-4516-8295-9617f15950f1","Cartama SAS",NA,20,NA,"En colección",NA,2078,NA,51,NA,"2020-02-20",NA,NA,NA,"Muestra","Heteromyidae",5504,NA,NA,NA,"Colombia","3890564502","LATIN_AMERICA","Heteromys","Heteromys",2439567,NA,"Juan Manuel Martínez Cerón (JMC)",NA,NA,"Las coordenadas decimalCoordinates: 5.362423975, -75.74669603 no coinciden con la ubicación",NA,NA,"Bosque - Borde Quebrada","Animalia | Chordata | Mammalia | Rodentia","América|Sudamérica|Colombia|Risaralda|Guática","TGN:1000741","c4f66525-4d36-4c18-82ac-98e088f54db4",NA,NA,NA,NA,NA,NA,"Juan Manuel Martínez-Cerón (JMC)","EAFIT:EAFIT-M_1970",1,NA,"68845aab-a453-4816-b36d-a3ec8455deb0","Universidad EAFIT (EAFIT)","890.901.389 – 5","e12cc193-0020-4ca3-aa8b-824e8feb24a0",FALSE,"CO",FALSE,"LC",3890564502,"Animalia",1,"es","2025-03-27T08:11:25.103+00:00","2025-03-27T08:11:46.415+00:00","2025-03-27T08:11:46.415+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Unidad Productiva, La Teresita, Cartama SAS",NA,"CO:27075",NA,NA,NA,"2024-01-01T00:00:00.000+00:00",2,"Vereda Barroblanco",NA,NA,NA,"EAFIT:EAFIT-M_1970",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,"Organismo multicelular",NA,NA,NA,NA,"Chordata",44,"Piel|Cráneo|Esqueleto (ETOH 75%)",NA,"EAFIT","EML","LATIN_AMERICA","CO","57c6cd7f-e50f-441e-849a-3d2e1912cb92","Juan Manuel Martínez-Cerón (JMC)","JMC0509",NA,NA,"Universidad EAFIT",NA,NA,"Transecto trampa victor/sherman","Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",51,NA,NA,2439568,"ACCEPTED","SPECIES","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,2025-04-14
"7","Heteromys australis Thomas, 1901",2439568,"Sólo para uso no comercial","Risaralda","Guática",NA,"PRESERVED_SPECIMEN",NA,"EAFIT-M 1971","Mammalia",359,"Unidad Productiva, La Teresita, Cartama SAS, Risaralda, Guática, Colombia, SOUTH_AMERICA","EAFIT","https://scientific-collections.gbif.org/collection/bf2fdc2f-8ab1-4b41-8392-dc547291ff12","bf2fdc2f-8ab1-4b41-8392-dc547291ff12",NA,NA,"SOUTH_AMERICA",NA,NA,"Colombia",131,NA,"8833ca14-d2a7-4516-8295-9617f15950f1","Cartama SAS",NA,21,NA,"En colección",NA,2078,NA,52,NA,"2020-02-21",NA,NA,NA,"Muestra","Heteromyidae",5504,NA,NA,NA,"Colombia","3890564505","LATIN_AMERICA","Heteromys","Heteromys",2439567,NA,"Juan Manuel Martínez Cerón (JMC)",NA,NA,"Las coordenadas decimalCoordinates: 5.362423975, -75.74669603 no coinciden con la ubicación",NA,NA,"Bosque - Borde Quebrada","Animalia | Chordata | Mammalia | Rodentia","América|Sudamérica|Colombia|Risaralda|Guática","TGN:1000741","c4f66525-4d36-4c18-82ac-98e088f54db4",NA,NA,NA,NA,NA,NA,"Juan Manuel Martínez-Cerón (JMC)","EAFIT:EAFIT-M_1971",1,NA,"68845aab-a453-4816-b36d-a3ec8455deb0","Universidad EAFIT (EAFIT)","890.901.389 – 5","e12cc193-0020-4ca3-aa8b-824e8feb24a0",FALSE,"CO",FALSE,"LC",3890564505,"Animalia",1,"es","2025-03-27T08:11:25.103+00:00","2025-03-27T08:11:46.415+00:00","2025-03-27T08:11:46.415+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Unidad Productiva, La Teresita, Cartama SAS",NA,"CO:27075",NA,NA,NA,"2024-01-01T00:00:00.000+00:00",2,"Vereda Barroblanco",NA,NA,NA,"EAFIT:EAFIT-M_1971",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,"Organismo multicelular",NA,NA,NA,NA,"Chordata",44,"Cráneo|Cuerpo en líquido (ETOH 75%)",NA,"EAFIT","EML","LATIN_AMERICA","CO","57c6cd7f-e50f-441e-849a-3d2e1912cb92","Juan Manuel Martínez-Cerón (JMC)","JMC0510",NA,NA,"Universidad EAFIT",NA,NA,"Transecto trampa victor/sherman","Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",52,NA,NA,2439568,"ACCEPTED","SPECIES","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,2025-04-14
"8","Heteromys australis Thomas, 1901",2439568,"Sólo para uso no comercial","Risaralda","Guática",NA,"PRESERVED_SPECIMEN",NA,"EAFIT-M 1972","Mammalia",359,"Unidad Productiva, La Teresita, Cartama SAS, Risaralda, Guática, Colombia, SOUTH_AMERICA","EAFIT","https://scientific-collections.gbif.org/collection/bf2fdc2f-8ab1-4b41-8392-dc547291ff12","bf2fdc2f-8ab1-4b41-8392-dc547291ff12",NA,NA,"SOUTH_AMERICA",NA,NA,"Colombia",131,NA,"8833ca14-d2a7-4516-8295-9617f15950f1","Cartama SAS",NA,21,NA,"En colección",NA,2078,NA,52,NA,"2020-02-21",NA,NA,NA,"Muestra","Heteromyidae",5504,NA,NA,NA,"Colombia","3890564504","LATIN_AMERICA","Heteromys","Heteromys",2439567,NA,"Juan Manuel Martínez Cerón (JMC)",NA,NA,"Las coordenadas decimalCoordinates: 5.362423975, -75.74669603 no coinciden con la ubicación",NA,NA,"Bosque - Borde Quebrada","Animalia | Chordata | Mammalia | Rodentia","América|Sudamérica|Colombia|Risaralda|Guática","TGN:1000741","c4f66525-4d36-4c18-82ac-98e088f54db4",NA,NA,NA,NA,NA,NA,"Juan Manuel Martínez-Cerón (JMC)","EAFIT:EAFIT-M_1972",1,NA,"68845aab-a453-4816-b36d-a3ec8455deb0","Universidad EAFIT (EAFIT)","890.901.389 – 5","e12cc193-0020-4ca3-aa8b-824e8feb24a0",FALSE,"CO",FALSE,"LC",3890564504,"Animalia",1,"es","2025-03-27T08:11:25.103+00:00","2025-03-27T08:11:46.415+00:00","2025-03-27T08:11:46.415+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Unidad Productiva, La Teresita, Cartama SAS",NA,"CO:27075",NA,NA,NA,"2024-01-01T00:00:00.000+00:00",2,"Vereda Barroblanco",NA,NA,NA,"EAFIT:EAFIT-M_1972",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,"Organismo multicelular",NA,NA,NA,NA,"Chordata",44,"Cuerpo en líquido (ETOH 75%)",NA,"EAFIT","EML","LATIN_AMERICA","CO","57c6cd7f-e50f-441e-849a-3d2e1912cb92","Juan Manuel Martínez-Cerón (JMC)","JMC0511",NA,NA,"Universidad EAFIT",NA,NA,"Transecto trampa victor/sherman","Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",52,NA,NA,2439568,"ACCEPTED","SPECIES","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,2025-04-14
"9","Heteromys australis Thomas, 1901",2439568,NA,"Nariño",NA,NA,"HUMAN_OBSERVATION",NA,"65537797","Mammalia",359,"Nariño, Colombia, SOUTH_AMERICA","Observations",NA,NA,NA,NA,"SOUTH_AMERICA",NA,31,"Colombia",528,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-11-24T17:22:54",19,NA,NA,NA,NA,NA,324,NA,"2020-11-19T06:51",NA,NA,"06:51:00-05:00",NA,"Heteromyidae",5504,NA,NA,NA,"Colombia","2988706867","LATIN_AMERICA","Heteromys","Heteromys",2439567,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","jorgebrito",NA,"143332627",NA,NA,"jorgebrito","65537797",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"CO",FALSE,"LC",2988706867,"Animalia",1,NA,"2025-04-02T15:54:54.054+00:00","2025-04-04T18:22:21.373+00:00","2025-04-04T18:22:21.373+00:00",1.010695,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-78.223495,NA,"2020-11-26T00:48:30.000+00:00",11,NA,NA,NA,NA,"https://www.inaturalist.org/observations/65537797",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata",44,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","jorgebrito",NA,"https://www.inaturalist.org/observations/65537797",NA,"jorgebrito",NA,NA,NA,"Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",324,NA,"44138",2439568,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2020/11/19 6:51 AM -0500",NA,"Tulcan, Ecuador",NA,NA,NA,NA,NA,2020,2025-04-14
"10","Heteromys australis Thomas, 1901",2439568,NA,"Chocó","Bajo Baudó",NA,"HUMAN_OBSERVATION",NA,NA,"Mammalia",359,"DRMI Encanto de los manglares del Bajo Baudó, Chocó, Bajo Baudó, Colombia, SOUTH_AMERICA",NA,NA,NA,NA,NA,"SOUTH_AMERICA",NA,NA,"Colombia",109,"2019_EMBB","4d252ed1-f39b-4653-b10f-ad006f3b1508","Caracterización DRMI Encanto de los manglares del Bajo Baudó",NA,12,NA,NA,NA,10,NA,71,NA,"2019-03-12","T-Q_Teteral",NA,NA,NA,"Heteromyidae",5504,NA,NA,NA,"Colombia","3803417455","LATIN_AMERICA","Heteromys","Heteromys",2439567,"WGS84","Vladimir Rojas Díaz",NA,NA,NA,NA,NA,"Quebrada",NA,NA,NA,"f072f648-b8a4-47a0-9e1c-89d790645b5a",NA,NA,NA,NA,NA,NA,"Vladimir Rojas Díaz","WCSColombia:2019_EMBB:VRD_00057",1,NA,"73ebc470-17bd-4130-a880-1be5cfb16e4d","WCS Colombia","900.003.825-8",NA,FALSE,"CO",FALSE,"LC",3803417455,"Animalia",1,"es","2025-01-19T06:58:11.838+00:00","2025-01-31T20:23:20.778+00:00","2025-01-31T20:23:20.778+00:00",4.754278,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"DRMI Encanto de los manglares del Bajo Baudó",NA,NA,NA,-77.210944,NA,NA,3,NA,NA,NA,NA,"WCSColombia:2019_EMBB:VRD_00057",NA,"PRESENT","Rodentia",1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata",44,NA,NA,NA,"EML","LATIN_AMERICA","CO","0c23482f-89f3-4efa-b6ed-7b25dadde4fc","Vladimir Rojas Díaz","VRD_00057",NA,NA,NA,NA,NA,"Trampas Sherman","Heteromys australis Thomas, 1901",NA,"Heteromys australis",2439568,"australis",71,NA,NA,2439568,"ACCEPTED","SPECIES","Event",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,2019,2025-04-14
